Date,Team,TMValue
2020-10-01,Académico Viseu FC,3.53
2020-10-01,SC Farense,11.48
2020-10-01,CD Tondela,8.4
2020-10-01,CD Mafra,2.95
2020-10-01,UD Vilafranquense,4.28
2020-10-01,B SAD,14.63
2020-10-01,FC Penafiel,4.05
2020-10-01,SC União Torreense,1.23
2020-10-01,CD Nacional,11.68
2020-10-01,CD Trofense,1.13
2020-10-01,CD Feirense,6.15
2020-10-01,Leixões SC,4.6
2020-10-01,CF Estrela Amadora SAD,4.6
2020-10-01,SC Covilhã,3.9
2020-10-01,UD Oliveirense,2.8
2020-09-15,SL Benfica,383.0
2020-09-15,FC Porto,299.53
2020-09-15,Sporting CP,153.8
2020-09-15,SC Braga,106.35
2020-09-15,FC Famalicão,25.8
2020-09-15,Vitória Guimarães SC,57.0
2020-09-15,Gil Vicente FC,10.4
2020-09-15,FC Paços de Ferreira,16.83
2020-09-15,GD Estoril Praia,7.7
2020-09-15,CD Santa Clara,16.05
2020-09-15,Boavista FC,26.4
2020-09-15,Portimonense SC,21.35
2020-09-15,Rio Ave FC,22.7
2020-09-15,CS Marítimo,18.48
2020-09-15,FC Vizela,1.6
2020-09-15,Casa Pia AC,5.43
2020-09-15,FC Arouca,2.15
2020-09-15,GD Chaves,6.1
2020-09-15,SL Benfica B,13.78
2020-09-15,FC Porto B,7.6
2020-09-15,Moreirense FC,14.85
2020-09-15,Académico Viseu FC,3.8
2020-09-15,SC Farense,11.0
2020-09-15,CD Tondela,7.03
2020-09-15,CD Mafra,3.13
2020-09-15,UD Vilafranquense,6.2
2020-09-15,B SAD,13.2
2020-09-15,FC Penafiel,3.15
2020-09-15,SC União Torreense,3.15
2020-09-15,CD Nacional,11.23
2020-09-15,CD Trofense,11.23
2020-09-15,CD Feirense,5.88
2020-09-15,Leixões SC,4.38
2020-09-15,CF Estrela Amadora SAD,4.38
2020-09-15,SC Covilhã,3.5
2020-09-15,UD Oliveirense,2.53
2020-09-01,SL Benfica,375.4
2020-09-01,FC Porto,308.03
2020-09-01,Sporting CP,168.2
2020-09-01,SC Braga,107.05
2020-09-01,FC Famalicão,28.15
2020-09-01,Vitória Guimarães SC,59.4
2020-09-01,Gil Vicente FC,9.0
2020-09-01,FC Paços de Ferreira,14.33
2020-09-01,GD Estoril Praia,6.83
2020-09-01,CD Santa Clara,16.45
2020-09-01,Boavista FC,13.8
2020-09-01,Portimonense SC,21.2
2020-09-01,Rio Ave FC,22.45
2020-09-01,CS Marítimo,18.15
2020-09-01,FC Vizela,1.3
2020-09-01,Casa Pia AC,4.0
2020-09-01,FC Arouca,1.98
2020-09-01,GD Chaves,6.3
2020-09-01,SL Benfica B,13.78
2020-09-01,FC Porto B,8.78
2020-09-01,Moreirense FC,14.48
2020-09-01,Académico Viseu FC,3.65
2020-09-01,SC Farense,10.3
2020-09-01,CD Tondela,6.68
2020-09-01,CD Mafra,3.48
2020-09-01,UD Vilafranquense,6.15
2020-09-01,B SAD,10.28
2020-09-01,FC Penafiel,2.9
2020-09-01,SC União Torreense,2.9
2020-09-01,CD Nacional,9.43
2020-09-01,CD Trofense,9.43
2020-09-01,CD Feirense,6.33
2020-09-01,Leixões SC,4.23
2020-09-01,CF Estrela Amadora SAD,4.23
2020-09-01,SC Covilhã,2.83
2020-09-01,UD Oliveirense,2.88
2020-08-15,SL Benfica,366.35
2020-08-15,FC Porto,238.08
2020-08-15,Sporting CP,109.43
2020-08-15,SC Braga,82.0
2020-08-15,FC Famalicão,13.48
2020-08-15,Vitória Guimarães SC,37.98
2020-08-15,Gil Vicente FC,9.83
2020-08-15,FC Paços de Ferreira,8.23
2020-08-15,GD Estoril Praia,6.8
2020-08-15,CD Santa Clara,12.9
2020-08-15,Boavista FC,10.55
2020-08-15,Portimonense SC,16.85
2020-08-15,Rio Ave FC,17.93
2020-08-15,CS Marítimo,15.45
2020-08-15,FC Vizela,1.3
2020-08-15,Casa Pia AC,2.98
2020-08-15,FC Arouca,1.98
2020-08-15,GD Chaves,6.28
2020-08-15,SL Benfica B,14.93
2020-08-15,FC Porto B,8.43
2020-08-15,Moreirense FC,9.08
2020-08-15,Académico Viseu FC,3.95
2020-08-15,SC Farense,6.6
2020-08-15,CD Tondela,6.75
2020-08-15,CD Mafra,3.63
2020-08-15,UD Vilafranquense,5.9
2020-08-15,B SAD,8.98
2020-08-15,FC Penafiel,3.53
2020-08-15,SC União Torreense,3.53
2020-08-15,CD Nacional,7.63
2020-08-15,CD Trofense,7.63
2020-08-15,CD Feirense,6.8
2020-08-15,Leixões SC,3.25
2020-08-15,CF Estrela Amadora SAD,3.25
2020-08-15,SC Covilhã,3.28
2020-08-15,UD Oliveirense,3.25
2020-08-01,SL Benfica,306.3
2020-08-01,FC Porto,228.33
2020-08-01,Sporting CP,110.18
2020-08-01,SC Braga,76.65
2020-08-01,FC Famalicão,14.78
2020-08-01,Vitória Guimarães SC,36.6
2020-08-01,Gil Vicente FC,8.15
2020-08-01,FC Paços de Ferreira,10.18
2020-08-01,GD Estoril Praia,5.18
2020-08-01,CD Santa Clara,13.18
2020-08-01,Boavista FC,6.98
2020-08-01,Portimonense SC,16.43
2020-08-01,Rio Ave FC,18.68
2020-08-01,CS Marítimo,11.9
2020-08-01,FC Vizela,1.25
2020-08-01,Casa Pia AC,2.98
2020-08-01,FC Arouca,1.43
2020-08-01,GD Chaves,5.65
2020-08-01,SL Benfica B,18.35
2020-08-01,FC Porto B,8.5
2020-08-01,Moreirense FC,9.08
2020-08-01,Académico Viseu FC,4.48
2020-08-01,SC Farense,5.1
2020-08-01,CD Tondela,9.15
2020-08-01,CD Mafra,3.88
2020-08-01,UD Vilafranquense,5.9
2020-08-01,B SAD,10.48
2020-08-01,FC Penafiel,3.98
2020-08-01,SC União Torreense,3.98
2020-08-01,CD Nacional,5.6
2020-08-01,CD Trofense,5.6
2020-08-01,CD Feirense,5.43
2020-08-01,Leixões SC,3.3
2020-08-01,CF Estrela Amadora SAD,3.3
2020-08-01,SC Covilhã,3.08
2020-08-01,UD Oliveirense,4.1
2020-07-15,SL Benfica,293.9
2020-07-15,FC Porto,221.23
2020-07-15,Sporting CP,92.9
2020-07-15,SC Braga,88.2
2020-07-15,FC Famalicão,36.65
2020-07-15,Vitória Guimarães SC,35.8
2020-07-15,Gil Vicente FC,10.25
2020-07-15,FC Paços de Ferreira,10.83
2020-07-15,GD Estoril Praia,4.98
2020-07-15,CD Santa Clara,14.03
2020-07-15,Boavista FC,7.63
2020-07-15,Portimonense SC,16.73
2020-07-15,Rio Ave FC,19.98
2020-07-15,CS Marítimo,15.43
2020-07-15,FC Vizela,1.25
2020-07-15,Casa Pia AC,2.98
2020-07-15,FC Arouca,2.98
2020-07-15,GD Chaves,5.65
2020-07-15,SL Benfica B,15.85
2020-07-15,FC Porto B,7.63
2020-07-15,Moreirense FC,13.45
2020-07-15,Académico Viseu FC,4.38
2020-07-15,SC Farense,4.75
2020-07-15,CD Tondela,11.53
2020-07-15,CD Mafra,4.0
2020-07-15,UD Vilafranquense,5.55
2020-07-15,B SAD,12.58
2020-07-15,FC Penafiel,3.98
2020-07-15,SC União Torreense,3.98
2020-07-15,CD Nacional,4.78
2020-07-15,CD Trofense,4.78
2020-07-15,CD Feirense,4.7
2020-07-15,Leixões SC,3.5
2020-07-15,CF Estrela Amadora SAD,3.5
2020-07-15,SC Covilhã,3.78
2020-07-15,UD Oliveirense,4.35
2020-07-01,SL Benfica,286.8
2020-07-01,FC Porto,221.7
2020-07-01,Sporting CP,108.5
2020-07-01,SC Braga,79.0
2020-07-01,FC Famalicão,13.48
2020-07-01,Vitória Guimarães SC,38.23
2020-07-01,Gil Vicente FC,8.33
2020-07-01,FC Paços de Ferreira,10.18
2020-07-01,GD Estoril Praia,4.8
2020-07-01,CD Santa Clara,13.38
2020-07-01,Boavista FC,6.98
2020-07-01,Portimonense SC,16.6
2020-07-01,Rio Ave FC,17.85
2020-07-01,CS Marítimo,12.3
2020-07-01,FC Vizela,1.03
2020-07-01,Casa Pia AC,2.98
2020-07-01,FC Arouca,2.98
2020-07-01,GD Chaves,4.95
2020-07-01,SL Benfica B,18.45
2020-07-01,FC Porto B,7.63
2020-07-01,Moreirense FC,10.38
2020-07-01,Académico Viseu FC,4.8
2020-07-01,SC Farense,5.03
2020-07-01,CD Tondela,9.63
2020-07-01,CD Mafra,4.2
2020-07-01,UD Vilafranquense,4.95
2020-07-01,B SAD,10.43
2020-07-01,FC Penafiel,3.88
2020-07-01,SC União Torreense,3.88
2020-07-01,CD Nacional,4.88
2020-07-01,CD Trofense,4.88
2020-07-01,CD Feirense,5.13
2020-07-01,Leixões SC,4.93
2020-07-01,CF Estrela Amadora SAD,4.93
2020-07-01,SC Covilhã,3.7
2020-07-01,UD Oliveirense,4.2
2020-06-15,SL Benfica,269.6
2020-06-15,FC Porto,216.73
2020-06-15,Sporting CP,90.25
2020-06-15,SC Braga,89.5
2020-06-15,FC Famalicão,37.1
2020-06-15,Vitória Guimarães SC,40.38
2020-06-15,Gil Vicente FC,11.35
2020-06-15,FC Paços de Ferreira,12.33
2020-06-15,GD Estoril Praia,7.65
2020-06-15,CD Santa Clara,12.05
2020-06-15,Boavista FC,12.85
2020-06-15,Portimonense SC,18.18
2020-06-15,Rio Ave FC,19.73
2020-06-15,CS Marítimo,13.93
2020-06-15,FC Vizela,1.03
2020-06-15,Casa Pia AC,3.98
2020-06-15,FC Arouca,3.98
2020-06-15,GD Chaves,6.93
2020-06-15,SL Benfica B,13.25
2020-06-15,FC Porto B,8.78
2020-06-15,Moreirense FC,14.0
2020-06-15,Académico Viseu FC,5.13
2020-06-15,SC Farense,5.93
2020-06-15,CD Tondela,11.38
2020-06-15,CD Mafra,5.3
2020-06-15,UD Vilafranquense,5.88
2020-06-15,B SAD,12.0
2020-06-15,FC Penafiel,4.8
2020-06-15,SC União Torreense,4.8
2020-06-15,CD Nacional,6.08
2020-06-15,CD Trofense,6.08
2020-06-15,CD Feirense,4.78
2020-06-15,Leixões SC,6.15
2020-06-15,CF Estrela Amadora SAD,6.15
2020-06-15,SC Covilhã,4.33
2020-06-15,UD Oliveirense,4.85
2020-06-01,SL Benfica,269.6
2020-06-01,FC Porto,216.73
2020-06-01,Sporting CP,98.25
2020-06-01,SC Braga,89.5
2020-06-01,FC Famalicão,37.1
2020-06-01,Vitória Guimarães SC,40.38
2020-06-01,Gil Vicente FC,11.35
2020-06-01,FC Paços de Ferreira,12.33
2020-06-01,GD Estoril Praia,7.65
2020-06-01,CD Santa Clara,12.05
2020-06-01,Boavista FC,12.85
2020-06-01,Portimonense SC,18.18
2020-06-01,Rio Ave FC,19.73
2020-06-01,CS Marítimo,13.93
2020-06-01,FC Vizela,1.03
2020-06-01,Casa Pia AC,3.98
2020-06-01,FC Arouca,3.98
2020-06-01,GD Chaves,6.93
2020-06-01,SL Benfica B,13.25
2020-06-01,FC Porto B,8.78
2020-06-01,Moreirense FC,14.0
2020-06-01,Académico Viseu FC,5.13
2020-06-01,SC Farense,5.93
2020-06-01,CD Tondela,11.38
2020-06-01,CD Mafra,5.3
2020-06-01,UD Vilafranquense,5.88
2020-06-01,B SAD,12.0
2020-06-01,FC Penafiel,4.8
2020-06-01,SC União Torreense,4.8
2020-06-01,CD Nacional,6.08
2020-06-01,CD Trofense,6.08
2020-06-01,CD Feirense,4.78
2020-06-01,Leixões SC,6.15
2020-06-01,CF Estrela Amadora SAD,6.15
2020-06-01,SC Covilhã,4.33
2020-06-01,UD Oliveirense,4.85
2020-05-15,SL Benfica,269.6
2020-05-15,FC Porto,217.53
2020-05-15,Sporting CP,98.25
2020-05-15,SC Braga,89.5
2020-05-15,FC Famalicão,37.1
2020-05-15,Vitória Guimarães SC,40.38
2020-05-15,Gil Vicente FC,11.35
2020-05-15,FC Paços de Ferreira,12.33
2020-05-15,GD Estoril Praia,7.65
2020-05-15,CD Santa Clara,12.05
2020-05-15,Boavista FC,12.85
2020-05-15,Portimonense SC,18.18
2020-05-15,Rio Ave FC,19.73
2020-05-15,CS Marítimo,13.93
2020-05-15,FC Vizela,1.03
2020-05-15,Casa Pia AC,3.98
2020-05-15,FC Arouca,3.98
2020-05-15,GD Chaves,6.93
2020-05-15,SL Benfica B,13.25
2020-05-15,FC Porto B,8.78
2020-05-15,Moreirense FC,14.0
2020-05-15,Académico Viseu FC,5.13
2020-05-15,SC Farense,5.93
2020-05-15,CD Tondela,11.38
2020-05-15,CD Mafra,5.3
2020-05-15,UD Vilafranquense,5.88
2020-05-15,B SAD,12.0
2020-05-15,FC Penafiel,4.8
2020-05-15,SC União Torreense,4.8
2020-05-15,CD Nacional,6.08
2020-05-15,CD Trofense,6.08
2020-05-15,CD Feirense,4.78
2020-05-15,Leixões SC,6.15
2020-05-15,CF Estrela Amadora SAD,6.15
2020-05-15,SC Covilhã,4.33
2020-05-15,UD Oliveirense,4.85
2020-05-01,SL Benfica,269.6
2020-05-01,FC Porto,217.53
2020-05-01,Sporting CP,98.25
2020-05-01,SC Braga,89.5
2020-05-01,FC Famalicão,37.1
2020-05-01,Vitória Guimarães SC,40.38
2020-05-01,Gil Vicente FC,11.35
2020-05-01,FC Paços de Ferreira,12.33
2020-05-01,GD Estoril Praia,7.65
2020-05-01,CD Santa Clara,12.05
2020-05-01,Boavista FC,12.85
2020-05-01,Portimonense SC,18.18
2020-05-01,Rio Ave FC,19.73
2020-05-01,CS Marítimo,13.93
2020-05-01,FC Vizela,1.03
2020-05-01,Casa Pia AC,3.98
2020-05-01,FC Arouca,3.98
2020-05-01,GD Chaves,6.93
2020-05-01,SL Benfica B,13.25
2020-05-01,FC Porto B,8.78
2020-05-01,Moreirense FC,14.0
2020-05-01,Académico Viseu FC,5.13
2020-05-01,SC Farense,5.93
2020-05-01,CD Tondela,11.38
2020-05-01,CD Mafra,5.3
2020-05-01,UD Vilafranquense,5.88
2020-05-01,B SAD,12.0
2020-05-01,FC Penafiel,4.8
2020-05-01,SC União Torreense,4.8
2020-05-01,CD Nacional,6.08
2020-05-01,CD Trofense,6.08
2020-05-01,CD Feirense,4.78
2020-05-01,Leixões SC,6.15
2020-05-01,CF Estrela Amadora SAD,6.15
2020-05-01,SC Covilhã,4.33
2020-05-01,UD Oliveirense,4.85
2020-04-15,SL Benfica,269.6
2020-04-15,FC Porto,217.53
2020-04-15,Sporting CP,98.25
2020-04-15,SC Braga,89.5
2020-04-15,FC Famalicão,37.1
2020-04-15,Vitória Guimarães SC,40.38
2020-04-15,Gil Vicente FC,11.35
2020-04-15,FC Paços de Ferreira,12.33
2020-04-15,GD Estoril Praia,7.65
2020-04-15,CD Santa Clara,12.05
2020-04-15,Boavista FC,12.85
2020-04-15,Portimonense SC,18.18
2020-04-15,Rio Ave FC,19.73
2020-04-15,CS Marítimo,13.93
2020-04-15,FC Vizela,1.03
2020-04-15,Casa Pia AC,3.98
2020-04-15,FC Arouca,3.98
2020-04-15,GD Chaves,6.93
2020-04-15,SL Benfica B,13.25
2020-04-15,FC Porto B,8.78
2020-04-15,Moreirense FC,14.0
2020-04-15,Académico Viseu FC,5.13
2020-04-15,SC Farense,5.93
2020-04-15,CD Tondela,11.38
2020-04-15,CD Mafra,5.3
2020-04-15,UD Vilafranquense,5.88
2020-04-15,B SAD,12.0
2020-04-15,FC Penafiel,4.8
2020-04-15,SC União Torreense,4.8
2020-04-15,CD Nacional,6.08
2020-04-15,CD Trofense,6.08
2020-04-15,CD Feirense,4.78
2020-04-15,Leixões SC,6.15
2020-04-15,CF Estrela Amadora SAD,6.15
2020-04-15,SC Covilhã,4.33
2020-04-15,UD Oliveirense,4.85
2020-04-01,SL Benfica,331.5
2020-04-01,FC Porto,268.4
2020-04-01,Sporting CP,120.25
2020-04-01,SC Braga,109.35
2020-04-01,FC Famalicão,43.45
2020-04-01,Vitória Guimarães SC,49.55
2020-04-01,Gil Vicente FC,13.65
2020-04-01,FC Paços de Ferreira,14.7
2020-04-01,GD Estoril Praia,8.43
2020-04-01,CD Santa Clara,14.8
2020-04-01,Boavista FC,15.58
2020-04-01,Portimonense SC,22.35
2020-04-01,Rio Ave FC,24.4
2020-04-01,CS Marítimo,17.3
2020-04-01,FC Vizela,1.03
2020-04-01,Casa Pia AC,3.98
2020-04-01,FC Arouca,3.98
2020-04-01,GD Chaves,7.7
2020-04-01,SL Benfica B,14.75
2020-04-01,FC Porto B,9.8
2020-04-01,Moreirense FC,16.7
2020-04-01,Académico Viseu FC,5.45
2020-04-01,SC Farense,6.7
2020-04-01,CD Tondela,13.65
2020-04-01,CD Mafra,5.68
2020-04-01,UD Vilafranquense,6.2
2020-04-01,B SAD,14.3
2020-04-01,FC Penafiel,4.95
2020-04-01,SC União Torreense,4.95
2020-04-01,CD Nacional,6.75
2020-04-01,CD Trofense,6.75
2020-04-01,CD Feirense,5.08
2020-04-01,Leixões SC,6.93
2020-04-01,CF Estrela Amadora SAD,6.93
2020-04-01,SC Covilhã,4.6
2020-04-01,UD Oliveirense,5.0
2020-03-15,SL Benfica,331.5
2020-03-15,FC Porto,268.4
2020-03-15,Sporting CP,120.25
2020-03-15,SC Braga,108.95
2020-03-15,FC Famalicão,43.45
2020-03-15,Vitória Guimarães SC,49.55
2020-03-15,Gil Vicente FC,13.65
2020-03-15,FC Paços de Ferreira,14.7
2020-03-15,GD Estoril Praia,8.43
2020-03-15,CD Santa Clara,14.75
2020-03-15,Boavista FC,15.58
2020-03-15,Portimonense SC,23.25
2020-03-15,Rio Ave FC,24.4
2020-03-15,CS Marítimo,17.3
2020-03-15,FC Vizela,1.03
2020-03-15,Casa Pia AC,3.98
2020-03-15,FC Arouca,3.98
2020-03-15,GD Chaves,7.7
2020-03-15,SL Benfica B,14.75
2020-03-15,FC Porto B,9.8
2020-03-15,Moreirense FC,16.7
2020-03-15,Académico Viseu FC,5.45
2020-03-15,SC Farense,6.7
2020-03-15,CD Tondela,13.65
2020-03-15,CD Mafra,5.75
2020-03-15,UD Vilafranquense,6.2
2020-03-15,B SAD,14.3
2020-03-15,FC Penafiel,4.95
2020-03-15,SC União Torreense,4.95
2020-03-15,CD Nacional,6.75
2020-03-15,CD Trofense,6.75
2020-03-15,CD Feirense,5.28
2020-03-15,Leixões SC,6.93
2020-03-15,CF Estrela Amadora SAD,6.93
2020-03-15,SC Covilhã,4.6
2020-03-15,UD Oliveirense,5.0
2020-03-01,SL Benfica,331.5
2020-03-01,FC Porto,268.4
2020-03-01,Sporting CP,120.25
2020-03-01,SC Braga,108.95
2020-03-01,FC Famalicão,43.45
2020-03-01,Vitória Guimarães SC,49.55
2020-03-01,Gil Vicente FC,13.65
2020-03-01,FC Paços de Ferreira,14.7
2020-03-01,GD Estoril Praia,8.43
2020-03-01,CD Santa Clara,14.75
2020-03-01,Boavista FC,15.58
2020-03-01,Portimonense SC,23.25
2020-03-01,Rio Ave FC,24.4
2020-03-01,CS Marítimo,17.3
2020-03-01,FC Vizela,1.03
2020-03-01,Casa Pia AC,3.98
2020-03-01,FC Arouca,3.98
2020-03-01,GD Chaves,7.7
2020-03-01,SL Benfica B,14.75
2020-03-01,FC Porto B,9.8
2020-03-01,Moreirense FC,16.7
2020-03-01,Académico Viseu FC,5.45
2020-03-01,SC Farense,6.7
2020-03-01,CD Tondela,13.65
2020-03-01,CD Mafra,5.75
2020-03-01,UD Vilafranquense,6.1
2020-03-01,B SAD,13.7
2020-03-01,FC Penafiel,4.95
2020-03-01,SC União Torreense,4.95
2020-03-01,CD Nacional,6.75
2020-03-01,CD Trofense,6.75
2020-03-01,CD Feirense,5.28
2020-03-01,Leixões SC,6.93
2020-03-01,CF Estrela Amadora SAD,6.93
2020-03-01,SC Covilhã,4.6
2020-03-01,UD Oliveirense,5.0
2020-02-15,SL Benfica,331.5
2020-02-15,FC Porto,269.9
2020-02-15,Sporting CP,120.25
2020-02-15,SC Braga,108.2
2020-02-15,FC Famalicão,43.45
2020-02-15,Vitória Guimarães SC,49.55
2020-02-15,Gil Vicente FC,13.65
2020-02-15,FC Paços de Ferreira,14.7
2020-02-15,GD Estoril Praia,9.08
2020-02-15,CD Santa Clara,14.75
2020-02-15,Boavista FC,15.58
2020-02-15,Portimonense SC,23.25
2020-02-15,Rio Ave FC,24.4
2020-02-15,CS Marítimo,18.0
2020-02-15,FC Vizela,1.03
2020-02-15,Casa Pia AC,3.98
2020-02-15,FC Arouca,3.98
2020-02-15,GD Chaves,7.7
2020-02-15,SL Benfica B,14.75
2020-02-15,FC Porto B,11.3
2020-02-15,Moreirense FC,16.7
2020-02-15,Académico Viseu FC,5.45
2020-02-15,SC Farense,6.7
2020-02-15,CD Tondela,13.65
2020-02-15,CD Mafra,5.75
2020-02-15,UD Vilafranquense,6.1
2020-02-15,B SAD,13.7
2020-02-15,FC Penafiel,5.1
2020-02-15,SC União Torreense,5.1
2020-02-15,CD Nacional,6.75
2020-02-15,CD Trofense,6.75
2020-02-15,CD Feirense,5.78
2020-02-15,Leixões SC,6.83
2020-02-15,CF Estrela Amadora SAD,6.83
2020-02-15,SC Covilhã,4.6
2020-02-15,UD Oliveirense,4.7
2020-02-01,SL Benfica,333.8
2020-02-01,FC Porto,271.9
2020-02-01,Sporting CP,118.65
2020-02-01,SC Braga,95.2
2020-02-01,FC Famalicão,43.45
2020-02-01,Vitória Guimarães SC,49.15
2020-02-01,Gil Vicente FC,13.55
2020-02-01,FC Paços de Ferreira,15.7
2020-02-01,GD Estoril Praia,9.08
2020-02-01,CD Santa Clara,15.8
2020-02-01,Boavista FC,15.58
2020-02-01,Portimonense SC,22.7
2020-02-01,Rio Ave FC,23.7
2020-02-01,CS Marítimo,18.0
2020-02-01,FC Vizela,1.03
2020-02-01,Casa Pia AC,4.03
2020-02-01,FC Arouca,4.03
2020-02-01,GD Chaves,7.7
2020-02-01,SL Benfica B,14.75
2020-02-01,FC Porto B,11.3
2020-02-01,Moreirense FC,16.7
2020-02-01,Académico Viseu FC,5.45
2020-02-01,SC Farense,6.7
2020-02-01,CD Tondela,13.65
2020-02-01,CD Mafra,5.75
2020-02-01,UD Vilafranquense,6.1
2020-02-01,B SAD,13.8
2020-02-01,FC Penafiel,5.1
2020-02-01,SC União Torreense,5.1
2020-02-01,CD Nacional,6.75
2020-02-01,CD Trofense,6.75
2020-02-01,CD Feirense,5.78
2020-02-01,Leixões SC,6.78
2020-02-01,CF Estrela Amadora SAD,6.78
2020-02-01,SC Covilhã,4.6
2020-02-01,UD Oliveirense,4.7
2020-01-15,SL Benfica,352.1
2020-01-15,FC Porto,271.9
2020-01-15,Sporting CP,178.5
2020-01-15,SC Braga,108.2
2020-01-15,FC Famalicão,43.9
2020-01-15,Vitória Guimarães SC,57.25
2020-01-15,Gil Vicente FC,13.75
2020-01-15,FC Paços de Ferreira,14.4
2020-01-15,GD Estoril Praia,9.9
2020-01-15,CD Santa Clara,16.6
2020-01-15,Boavista FC,17.23
2020-01-15,Portimonense SC,23.25
2020-01-15,Rio Ave FC,22.3
2020-01-15,CS Marítimo,15.15
2020-01-15,FC Vizela,15.15
2020-01-15,Casa Pia AC,3.6
2020-01-15,FC Arouca,3.6
2020-01-15,GD Chaves,7.13
2020-01-15,SL Benfica B,16.05
2020-01-15,FC Porto B,13.35
2020-01-15,Moreirense FC,14.6
2020-01-15,Académico Viseu FC,5.05
2020-01-15,SC Farense,6.78
2020-01-15,CD Tondela,14.85
2020-01-15,CD Mafra,5.38
2020-01-15,UD Vilafranquense,5.53
2020-01-15,B SAD,12.7
2020-01-15,FC Penafiel,4.7
2020-01-15,SC União Torreense,4.7
2020-01-15,CD Nacional,6.2
2020-01-15,CD Trofense,6.2
2020-01-15,CD Feirense,5.33
2020-01-15,Leixões SC,6.55
2020-01-15,CF Estrela Amadora SAD,6.55
2020-01-15,SC Covilhã,4.35
2020-01-15,UD Oliveirense,4.63
2020-01-01,SL Benfica,364.0
2020-01-01,FC Porto,273.9
2020-01-01,Sporting CP,178.6
2020-01-01,SC Braga,108.2
2020-01-01,FC Famalicão,39.4
2020-01-01,Vitória Guimarães SC,60.75
2020-01-01,Gil Vicente FC,13.85
2020-01-01,FC Paços de Ferreira,10.3
2020-01-01,GD Estoril Praia,11.23
2020-01-01,CD Santa Clara,16.8
2020-01-01,Boavista FC,17.53
2020-01-01,Portimonense SC,23.15
2020-01-01,Rio Ave FC,22.3
2020-01-01,CS Marítimo,15.0
2020-01-01,FC Vizela,15.0
2020-01-01,Casa Pia AC,3.9
2020-01-01,FC Arouca,3.9
2020-01-01,GD Chaves,6.23
2020-01-01,SL Benfica B,17.25
2020-01-01,FC Porto B,13.75
2020-01-01,Moreirense FC,14.6
2020-01-01,Académico Viseu FC,5.23
2020-01-01,SC Farense,6.45
2020-01-01,CD Tondela,14.35
2020-01-01,CD Mafra,5.38
2020-01-01,UD Vilafranquense,4.5
2020-01-01,B SAD,13.85
2020-01-01,FC Penafiel,4.7
2020-01-01,SC União Torreense,4.7
2020-01-01,CD Nacional,6.2
2020-01-01,CD Trofense,6.2
2020-01-01,CD Feirense,5.33
2020-01-01,Leixões SC,6.15
2020-01-01,CF Estrela Amadora SAD,6.15
2020-01-01,SC Covilhã,4.35
2020-01-01,UD Oliveirense,4.5
2019-12-15,SL Benfica,320.0
2019-12-15,FC Porto,262.4
2019-12-15,Sporting CP,182.5
2019-12-15,SC Braga,101.75
2019-12-15,FC Famalicão,25.3
2019-12-15,Vitória Guimarães SC,54.85
2019-12-15,Gil Vicente FC,11.3
2019-12-15,FC Paços de Ferreira,10.98
2019-12-15,GD Estoril Praia,8.48
2019-12-15,CD Santa Clara,16.2
2019-12-15,Boavista FC,17.38
2019-12-15,Portimonense SC,26.9
2019-12-15,Rio Ave FC,21.5
2019-12-15,CS Marítimo,14.8
2019-12-15,FC Vizela,14.8
2019-12-15,Casa Pia AC,1.48
2019-12-15,FC Arouca,1.48
2019-12-15,GD Chaves,8.73
2019-12-15,SL Benfica B,7.98
2019-12-15,FC Porto B,8.93
2019-12-15,Moreirense FC,13.55
2019-12-15,Académico Viseu FC,4.75
2019-12-15,SC Farense,5.7
2019-12-15,CD Tondela,13.75
2019-12-15,CD Mafra,3.68
2019-12-15,UD Vilafranquense,1.75
2019-12-15,B SAD,15.0
2019-12-15,FC Penafiel,6.53
2019-12-15,SC União Torreense,6.53
2019-12-15,CD Nacional,9.18
2019-12-15,CD Trofense,9.18
2019-12-15,CD Feirense,7.48
2019-12-15,Leixões SC,6.13
2019-12-15,CF Estrela Amadora SAD,6.13
2019-12-15,SC Covilhã,4.58
2019-12-15,UD Oliveirense,3.93
2019-12-01,SL Benfica,320.0
2019-12-01,FC Porto,262.4
2019-12-01,Sporting CP,182.5
2019-12-01,SC Braga,101.75
2019-12-01,FC Famalicão,25.3
2019-12-01,Vitória Guimarães SC,54.85
2019-12-01,Gil Vicente FC,11.3
2019-12-01,FC Paços de Ferreira,10.98
2019-12-01,GD Estoril Praia,8.48
2019-12-01,CD Santa Clara,16.2
2019-12-01,Boavista FC,16.98
2019-12-01,Portimonense SC,26.9
2019-12-01,Rio Ave FC,21.5
2019-12-01,CS Marítimo,14.8
2019-12-01,FC Vizela,14.8
2019-12-01,Casa Pia AC,1.48
2019-12-01,FC Arouca,1.48
2019-12-01,GD Chaves,8.73
2019-12-01,SL Benfica B,7.98
2019-12-01,FC Porto B,8.93
2019-12-01,Moreirense FC,13.55
2019-12-01,Académico Viseu FC,4.75
2019-12-01,SC Farense,5.7
2019-12-01,CD Tondela,13.75
2019-12-01,CD Mafra,3.68
2019-12-01,UD Vilafranquense,1.75
2019-12-01,B SAD,15.0
2019-12-01,FC Penafiel,6.53
2019-12-01,SC União Torreense,6.53
2019-12-01,CD Nacional,9.18
2019-12-01,CD Trofense,9.18
2019-12-01,CD Feirense,7.28
2019-12-01,Leixões SC,6.13
