HomeTeam,AwayTeam,FTHG,FTAG
West Ham United,Leicester City,,
Wolverhampton Wanderers,Arsenal FC,,
Arsenal FC,West Ham United,,
Aston Villa,Liverpool FC,,
Brentford FC,Tottenham Hotspur,,
Chelsea FC,AFC Bournemouth,,
Crystal Palace,Fulham FC,,
Everton FC,Wolverhampton Wanderers,,
Leeds United,Manchester City,,
Leicester City,Newcastle United,,
Manchester United,Nottingham Forest,,
Southampton FC,Brighton & Hove Albion,,
AFC Bournemouth,Crystal Palace,,
Brighton & Hove Albion,Arsenal FC,,
Fulham FC,Southampton FC,,
Liverpool FC,Leicester City,,
Manchester City,Everton FC,,
Newcastle United,Leeds United,,
Nottingham Forest,Chelsea FC,,
Tottenham Hotspur,Aston Villa,,
West Ham United,Brentford FC,,
Wolverhampton Wanderers,Manchester United,,
Arsenal FC,Newcastle United,,
Aston Villa,Wolverhampton Wanderers,,
Brentford FC,Liverpool FC,,
Chelsea FC,Manchester City,,
Crystal Palace,Tottenham Hotspur,,
Everton FC,Brighton & Hove Albion,,
Leeds United,West Ham United,,
Leicester City,Fulham FC,,
Manchester United,AFC Bournemouth,,
Southampton FC,Nottingham Forest,,
Aston Villa,Leeds United,,
Brentford FC,AFC Bournemouth,,
Brighton & Hove Albion,Liverpool FC,,
Chelsea FC,Crystal Palace,,
Wolverhampton Wanderers,West Ham United,,
Tottenham Hotspur,Arsenal FC,,
Nottingham Forest,Leicester City,,
Newcastle United,Fulham FC,,
Manchester United,Manchester City,,
Everton FC,Southampton FC,,
Arsenal FC,Manchester United,,
AFC Bournemouth,Nottingham Forest,,
West Ham United,Everton FC,,
Southampton FC,Aston Villa,,
Manchester City,Wolverhampton Wanderers,,
Liverpool FC,Chelsea FC,,
Leicester City,Brighton & Hove Albion,,
Leeds United,Brentford FC,,
Fulham FC,Tottenham Hotspur,,
Crystal Palace,Newcastle United,,
Aston Villa,Leicester City,,
Brentford FC,Southampton FC,,
Brighton & Hove Albion,AFC Bournemouth,,
Chelsea FC,Fulham FC,,
Everton FC,Arsenal FC,,
Manchester United,Crystal Palace,,
Wolverhampton Wanderers,Liverpool FC,,
Tottenham Hotspur,Manchester City,,
Nottingham Forest,Leeds United,,
Newcastle United,West Ham United,,
West Ham United,Chelsea FC,,
Southampton FC,Wolverhampton Wanderers,,
Manchester City,Aston Villa,,
Liverpool FC,Everton FC,,
Leicester City,Tottenham Hotspur,,
Arsenal FC,Brentford FC,,
AFC Bournemouth,Newcastle United,,
Crystal Palace,Brighton & Hove Albion,,
Fulham FC,Nottingham Forest,,
Leeds United,Manchester United,,
Aston Villa,Arsenal FC,,
Brentford FC,Crystal Palace,,
Brighton & Hove Albion,Fulham FC,,
