Team,Games,Wins,Draws,Losses,GF,GA,+/-,Pts
Arsenal FC,6,5,0,1,14,7,7,15
Manchester City,6,4,2,0,20,6,14,14
Tottenham Hotspur,6,4,2,0,12,5,7,14
Brighton & Hove Albion,6,4,1,1,11,5,6,13
Manchester United,6,4,0,2,8,8,0,12
Chelsea FC,6,3,1,2,8,9,-1,10
Liverpool FC,6,2,3,1,15,6,9,9
Brentford FC,6,2,3,1,15,9,6,9
Leeds United,6,2,2,2,10,10,0,8
Fulham FC,6,2,2,2,9,9,0,8
Newcastle United,6,1,4,1,7,6,1,7
Southampton FC,6,2,1,3,7,10,-3,7
AFC Bournemouth,6,2,1,3,5,18,-13,7
Wolverhampton Wanderers,6,1,3,2,3,4,-1,6
Crystal Palace,6,1,3,2,7,9,-2,6
Everton FC,6,0,4,2,4,6,-2,4
Aston Villa,6,1,1,4,5,10,-5,4
West Ham United,6,1,1,4,3,8,-5,4
Nottingham Forest,6,1,1,4,4,14,-10,4
Leicester City,6,0,1,5,8,16,-8,1
