Team,Games,Wins,Draws,Losses,GF,GA,+/-,Pts
Manchester United,38,28,5,5,86,43,43,89
Manchester City,38,23,9,6,66,34,32,78
Chelsea FC,38,22,9,7,75,39,36,75
Arsenal FC,38,21,10,7,72,37,35,73
Tottenham Hotspur,38,21,9,8,66,46,20,72
Everton FC,38,16,15,7,55,40,15,63
Liverpool FC,38,16,13,9,71,43,28,61
West Bromwich Albion,38,14,7,17,53,57,-4,49
Swansea City,38,11,13,14,47,51,-4,46
West Ham United,38,12,10,16,45,53,-8,46
Norwich City,38,10,14,14,41,58,-17,44
Fulham FC,38,11,10,17,50,60,-10,43
Stoke City,38,9,15,14,34,45,-11,42
Southampton FC,38,9,14,15,49,60,-11,41
Aston Villa,38,10,11,17,47,69,-22,41
Newcastle United,38,11,8,19,45,68,-23,41
Sunderland AFC,38,9,12,17,41,54,-13,39
Wigan Athletic,38,9,9,20,47,73,-26,36
Reading FC,38,6,10,22,43,73,-30,28
Queens Park Rangers,38,4,13,21,30,60,-30,25
